,fluxes
EX_hxan_e,0.0
EX_alltn_e,0.0
EX_orn_e,0.0
EX_gln__L_e,0.0
EX_urate_e,0.0
EX_so3_e,0.0
EX_s_e,0.0
EX_no3_e,-0.012193653823311383
EX_so4_e,0.0
EX_fe2_e,0.0
EX_fe3_e,0.0
PRISM_solar_litho,646.06656
PRISM_solar_exo,417.5912
PRISM_incandescent_60W,15.94176
EX_slnt_e,0.0
EX_leu__L_e,0.0
PRISM_fluorescent_warm_18W,8.09577
PRISM_fluorescent_cool_215W,44.63332
PRISM_metal_halide,17.5256
EX_etoh_e,0.04170687331812395
EX_arg__L_e,0.0
EX_for_e,0.07221399402818798
EX_h2_e,0.0
PRISM_high_pressure_sodium,36.15037
PRISM_growth_room,58.46722
PRISM_white_LED,4.59151
EX_glyclt_e,0.0
CMPth,0.0
EX_succ_e,0.0
EX_lac__D_e,0.0
EX_6mpur_e,0.0
PRISM_red_LED_array_653nm,96.62811
PRISM_red_LED_674nm,3.653
PRISM_design_growth,51.8841087821545
EX_h_e,0.07759375294392339
EX_h2o_e,0.002338840944185291
EX_pi_e,0.0
EX_nh4_e,-0.029767066562357954
EX_mg2_e,0.0
EX_tgua_e,0.0
EX_tega_e,0.0
EX_5flura_e,0.0
EX_cital_e,0.0
EX_lido_e,0.0
PS_asn__L_c,0.0074417666405894945
CY_focytc_h,0.012193653823311385
CY_focytb5_c,0.0
BIOMASS_Chlamy_auto,0.0
EX_na1_e,0.0
EX_photonVis_e,-1401.2285287821546
EX_o2_e,-0.005260330866240446
BIOMASS_Chlamy_mixo,0.0
CO2th,0.07826959577631518
BIOMASS_Chlamy_hetero,0.0
EX_co2_e,0.00951526744133661
COAth,0.004064551274437135
CTPth,0.0
ATPM,0.183
DM_apotfen_h,0.0
DM_asnglcnacglcnacman_man_man_c,0.007441766640589497
CYSth,0.0
DM_bhb_m,0.0
DM_bhb_x,0.0
DM_cat_c,0.0
DHAP_pi_thr,0.0
DM_ficytb5_c,0.0
DM_glu5sa_m,0.0
DMPPth,0.0
DM_hcarn_c,0.0
DM_icit_h,0.0
DM_leutrna_c,0.0
ETOHth,0.0
EX_hco3_e,0.0
F6P_pi_thi,0.0
SK_starch300_h,-0.00024885007802676295
F6PBth,0.0
FA160h,0.0
EX_ac_e,0.0
EX_rib__D_e,0.0
FA1619Zh,0.0
EX_no2_e,0.0
FA180h,0.0
EX_his__L_e,0.0
DM_na1_c,0.0
FA18111Zh,0.0
DM_na1_h,2.6628167654855742e-17
FA1819Zh,0.0
DM_na1_m,0.0
DM_na1_x,0.0
FADH2th,0.0
DM_no_h,0.012193653823311385
DM_o2D_u,0.0
FADth,0.0
DM_photon298_c,4.029912297216876
DM_photon437_u,114.6008094851158
FE2th,0.0
DM_photon438_u,235.245225940588
DM_photon450_h,144.69046489181056
FE3abch,0.0
DM_photon490_s,232.43806622892197
DM_photon646_h,325.77242515404447
FORthi,0.023711464814230802
DM_photon673_u,156.41140480222782
DM_photon680_u,166.7876556555635
EX_urea_e,0.0
